31, 2012 SEP 07 03:50:56,  3.3913909368854634e+03,  1.3744279305862980e+02, -4.5902407384251775e+00
32, 2012 SEP 08 04:32:28,  3.3913913406471884e+03,  1.3744279305816968e+02, -4.5902407385932085e+00
33, 2012 SEP 09 05:14:00,  3.3913917353684142e+03,  1.3744279305778309e+02, -4.5902407391293183e+00
34, 2012 SEP 10 05:55:31,  3.3913921211807774e+03,  1.3744279305786335e+02, -4.5902407386263944e+00
35, 2012 SEP 11 06:37:03,  3.3913924981352952e+03,  1.3744279305838830e+02, -4.5902407384939723e+00
36, 2012 SEP 12 07:18:35,  3.3913928663128736e+03,  1.3744279305824057e+02, -4.5902407385556838e+00
37, 2012 SEP 13 08:00:06,  3.3913932257999895e+03,  1.3744279305856602e+02, -4.5902407387253055e+00
38, 2012 SEP 14 08:41:38,  3.3913921243463974e+03,  1.3744332758186181e+02, -4.5903389475483971e+00
39, 2012 SEP 15 09:23:10,  3.3913927449038042e+03,  1.3744367394136188e+02, -4.5904417785713569e+00
40, 2012 SEP 16 10:04:42,  3.3913934063261272e+03,  1.3744422588725382e+02, -4.5901395163109893e+00
41, 2012 SEP 17 10:46:13,  3.3913932014135517e+03,  1.3744463660623023e+02, -4.5899442419295022e+00
42, 2012 SEP 18 11:27:45,  3.3913912927496408e+03,  1.3744510965356218e+02, -4.5901522603056790e+00
43, 2012 SEP 19 12:09:17,  3.3913909445618888e+03,  1.3744535718017420e+02, -4.5905941246423163e+00
44, 2012 SEP 20 12:50:48,  3.3913912447009425e+03,  1.3744535718011713e+02, -4.5905941248391322e+00
45, 2012 SEP 21 13:32:20,  3.3913913258891166e+03,  1.3744539267380753e+02, -4.5905528281058308e+00
46, 2012 SEP 22 14:13:52,  3.3913916094384053e+03,  1.3744539267423514e+02, -4.5905528280399235e+00
47, 2012 SEP 23 14:55:23,  3.3913918847481527e+03,  1.3744539267346431e+02, -4.5905528279403116e+00
48, 2012 SEP 24 15:36:55,  3.3913900839232751e+03,  1.3744603659596569e+02, -4.5904140779801379e+00
49, 2012 SEP 25 16:18:27,  3.3913885765432719e+03,  1.3744655608685068e+02, -4.5904258413538521e+00
50, 2012 SEP 26 16:59:58,  3.3913852155681811e+03,  1.3744736978547579e+02, -4.5903045944140137e+00
51, 2012 SEP 27 17:41:30,  3.3913854577986090e+03,  1.3744736978570805e+02, -4.5903045943069820e+00
