47, 2012 SEP 23 15:00:51, -3.0792367637660353e-02, -1.7246899364527302e-01, -1.4809256115902358e-01
48, 2012 SEP 24 15:42:22, -2.3856203941762077e-02, -2.0895042858720436e-01, -1.6013208209904897e-01
49, 2012 SEP 25 16:23:53, -1.9079555459636206e-02, -2.3501958994893565e-01, -1.7662464644024814e-01
50, 2012 SEP 26 17:05:25, -8.8841172714223676e-03, -2.7915036278323785e-01, -1.9547565013637883e-01
51, 2012 SEP 27 17:46:56, -3.5658558717642256e-03, -2.7769367839228076e-01, -1.9770992086837064e-01
52, 2012 SEP 28 18:28:27,  5.8922860420026826e-03, -3.1022255766730478e-01, -2.1069545708637433e-01
53, 2012 SEP 29 19:09:58,  1.1994876825055106e-02, -3.1035761582699567e-01, -2.1364888618162842e-01
54, 2012 SEP 30 19:51:29,  1.7879000848473478e-02, -3.0846404781157444e-01, -2.1597763062496278e-01
55, 2012 OCT 01 20:33:01,  2.6450324139201797e-02, -3.2365644810862382e-01, -2.2884070653315203e-01
56, 2012 OCT 02 21:14:32,  3.4072568470524894e-02, -3.2514180156461020e-01, -2.3048673182918622e-01
57, 2012 OCT 03 21:56:03,  4.0120315049310129e-02, -3.2218660611671840e-01, -2.3264559971036106e-01
58, 2012 OCT 04 22:37:34,  4.6302039919427364e-02, -3.1974158734551611e-01, -2.3485928182493807e-01
59, 2012 OCT 05 23:19:05,  5.2888728433546799e-02, -3.1790966326605169e-01, -2.3600489454657766e-01
60, 2012 OCT 07 00:00:36,  5.9032881674151071e-02, -3.1526032448250968e-01, -2.3809232948169765e-01
61, 2012 OCT 08 00:42:08,  6.5154014477503075e-02, -3.1251067383143383e-01, -2.4011582127348019e-01
62, 2012 OCT 09 01:23:39,  7.1250482330069892e-02, -3.0965782066429831e-01, -2.4206982678607250e-01
63, 2012 OCT 10 02:05:10,  7.7319273092803481e-02, -3.0670420902884499e-01, -2.4395999370119692e-01
64, 2012 OCT 11 02:46:41,  8.3358540817227489e-02, -3.0365156763781176e-01, -2.4578730560056872e-01
65, 2012 OCT 12 03:28:12,  8.9367753238469044e-02, -3.0049986678371399e-01, -2.4754314969999111e-01
