target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
60, 2012 OCT 07 00:00:36, -2.5567427288106376e-01, -3.0486183002466610e-01, -3.5381371515866789e-02
61, 2012 OCT 08 00:42:08, -2.5567581470361883e-01, -3.0486326134033170e-01, -3.5381409631708188e-02
62, 2012 OCT 09 01:23:39, -2.5567518390671984e-01, -3.0486214195901407e-01, -3.5378989605363759e-02
63, 2012 OCT 10 02:05:10, -2.5567505114886074e-01, -3.0486196449136227e-01, -3.5378965230653536e-02
64, 2012 OCT 11 02:46:41, -2.5567638392577269e-01, -3.0486391081985043e-01, -3.5382241770872819e-02
65, 2012 OCT 12 03:28:12, -2.5567646779396613e-01, -3.0486393664619155e-01, -3.5382201292483678e-02
66, 2012 OCT 13 04:09:44, -2.5567623498371400e-01, -3.0486371239609245e-01, -3.5382269877125228e-02
67, 2012 OCT 14 04:51:15, -2.5567575889930405e-01, -3.0486228428661416e-01, -3.5377765528490229e-02
68, 2012 OCT 15 05:32:46, -2.5567564019329758e-01, -3.0486212168257731e-01, -3.5377731695375586e-02
69, 2012 OCT 16 06:14:17, -2.5567418070107012e-01, -3.0486193419915675e-01, -3.5383496190578623e-02
70, 2012 OCT 17 06:55:48, -2.5567559253339012e-01, -3.0486304818193444e-01, -3.5382560107644317e-02
71, 2012 OCT 18 07:37:20, -2.5567324604997216e-01, -3.0486142052864629e-01, -3.5385466228788687e-02
72, 2012 OCT 19 08:18:51, -2.5567297762408570e-01, -3.0486063734793356e-01, -3.5383169752248533e-02
73, 2012 OCT 20 09:00:22, -2.5567425669836719e-01, -3.0486113385230657e-01, -3.5379925011471608e-02
74, 2012 OCT 21 09:41:53, -2.5567377157804644e-01, -3.0486101726958459e-01, -3.5381848401916244e-02
75, 2012 OCT 22 10:23:24, -2.5567551306080727e-01, -3.0486228485950007e-01, -3.5379926028275444e-02
76, 2012 OCT 23 11:04:56, -2.5567223563885766e-01, -3.0485940573464826e-01, -3.5381278459673732e-02
77, 2012 OCT 24 11:46:27, -2.5567430459097656e-01, -3.0486181985382466e-01, -3.5383588776313923e-02
78, 2012 OCT 25 12:27:58, -2.5567473754763859e-01, -3.0486192478490054e-01, -3.5382048781091996e-02
79, 2012 OCT 26 13:09:29, -2.5567255547593537e-01, -3.0486009143236903e-01, -3.5383536384333919e-02
80, 2012 OCT 27 13:51:00, -2.5567257783029518e-01, -3.0485910305248859e-01, -3.5378974058830531e-02
81, 2012 OCT 28 14:32:31, -2.5567410092835230e-01, -3.0485987549165794e-01, -3.5375854550868308e-02
82, 2012 OCT 29 15:14:03, -2.5566985894780447e-01, -3.0485689397626337e-01, -3.5380924325043417e-02
83, 2012 OCT 30 15:55:34, -2.5567195795128778e-01, -3.0485887699793113e-01, -3.5381041465688490e-02
84, 2012 OCT 31 16:37:05, -2.5567154175106233e-01, -3.0485805937623345e-01, -3.5379253918859627e-02
85, 2012 NOV 01 17:18:36, -2.5566905974071347e-01, -3.0485651917182921e-01, -3.5383195977290949e-02
86, 2012 NOV 02 18:00:07, -2.5567206555376421e-01, -3.0485904016752430e-01, -3.5381693147798099e-02
87, 2012 NOV 03 18:41:39, -2.5567276560907171e-01, -3.0485954111926639e-01, -3.5381206773484747e-02
88, 2012 NOV 04 19:23:10, -2.5567336892118242e-01, -3.0486022962314108e-01, -3.5381849723988001e-02
89, 2012 NOV 05 20:04:41, -2.5567189334600993e-01, -3.0485872228009980e-01, -3.5381529324697875e-02
90, 2012 NOV 06 20:46:12, -2.5567130494167811e-01, -3.0485856147180446e-01, -3.5383417616058427e-02
91, 2012 NOV 07 21:27:43, -2.5567308127800675e-01, -3.0485948004430985e-01, -3.5379967471724366e-02
92, 2012 NOV 08 22:09:15, -2.5567292092318455e-01, -3.0485929572569825e-01, -3.5379941863986242e-02
93, 2012 NOV 09 22:50:46, -2.5567044175714637e-01, -3.0485766465078246e-01, -3.5383546917198638e-02
94, 2012 NOV 10 23:32:17, -2.5567419004304670e-01, -3.0486047855374437e-01, -3.5379995998210068e-02
95, 2012 NOV 12 00:13:48, -2.5567030846773875e-01, -3.0485749015670494e-01, -3.5383520887950354e-02
96, 2012 NOV 13 00:55:19, -2.5567127318891703e-01, -3.0485729050641897e-01, -3.5378633674287535e-02
