target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
253, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
254, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
255, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
256, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
257, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
258, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
259, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
260, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
261, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
262, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
263, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
264, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
265, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
266, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
267, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
268, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
269, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
270, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
271, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
272, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
273, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
274, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
275, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
276, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
277, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
278, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
279, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
280, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
281, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
282, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
283, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
284, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
285, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
286, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
287, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
288, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
289, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
290, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
291, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
292, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
293, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
294, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
295, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
296, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
297, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
298, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
299, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
300, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
301, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
302, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
303, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
304, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
305, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
306, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
307, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
308, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
309, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
310, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
311, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
312, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
313, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
314, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
315, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
316, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
317, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
318, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
319, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
320, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
321, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
322, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
323, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
324, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
325, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
326, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
327, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
328, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
329, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
330, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
331, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
332, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
333, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
334, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
335, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
336, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
337, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
338, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
339, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
340, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
341, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
342, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
343, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
344, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
345, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
346, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
347, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
348, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
349, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
350, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
351, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
352, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
353, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
354, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
355, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
356, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
357, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
358, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
359, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
360, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
361, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
362, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
363, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
364, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
365, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
366, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
367, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
368, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
369, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
370, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
371, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
372, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
373, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
374, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
375, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
376, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
377, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
378, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
379, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
380, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
381, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
382, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
383, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
384, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
385, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
386, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
387, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
388, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
389, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
390, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
391, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
392, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
393, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
394, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
395, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
396, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
397, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
398, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
399, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
400, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
401, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
402, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
403, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
404, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
405, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
406, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
407, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
408, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
409, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
410, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
411, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
412, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
413, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
414, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
415, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
416, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
417, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
418, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
419, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
420, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
421, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
422, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
423, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
424, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
425, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
426, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
427, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
428, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
429, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
430, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
431, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
432, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
433, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
434, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
435, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
436, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
437, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
438, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
439, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
440, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
441, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
442, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
443, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
444, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
445, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
446, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
447, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
448, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
449, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
450, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
451, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
452, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
453, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
454, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
455, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
456, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
457, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
458, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
459, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
460, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
461, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
462, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
463, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
464, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
465, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
466, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
467, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
468, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
469, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
470, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
471, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
472, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
473, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
474, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
475, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
476, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
477, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
478, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
479, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
480, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
481, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
482, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
483, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
484, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
485, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
486, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
487, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
488, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
489, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
490, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
491, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
492, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
493, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
494, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
495, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
496, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
